model,display,characteristic,Q1_minus_Q5,n_months
gpt-4o-2024-05-13,GPT-4o,Mom,0.004260651629072698,19
gpt-4o-2024-05-13,GPT-4o,Rev,-0.06384711779448618,19
gpt-4o-2024-05-13,GPT-4o,LowVol,-0.09291979949874692,19
gpt-4o-2024-05-13,GPT-4o,E/P,-0.08117408906882591,19
gpt-4o-2024-05-13,GPT-4o,ROE,-0.06943319838056679,19
gpt-4o-2024-05-13,GPT-4o,LowInv,-0.08761808367071523,19
gpt-4o-2024-05-13,GPT-4o,SmallSize,-0.045989974937343345,19
gpt-4o-mini-2024-07-18,GPT-4o mini,Mom,-0.16572128851540616,17
gpt-4o-mini-2024-07-18,GPT-4o mini,Rev,0.18560924369747903,17
gpt-4o-mini-2024-07-18,GPT-4o mini,LowVol,0.15672268907563028,17
gpt-4o-mini-2024-07-18,GPT-4o mini,E/P,0.061990950226244346,17
gpt-4o-mini-2024-07-18,GPT-4o mini,ROE,0.2295625942684766,17
gpt-4o-mini-2024-07-18,GPT-4o mini,LowInv,0.2829185520361991,17
gpt-4o-mini-2024-07-18,GPT-4o mini,SmallSize,0.1426470588235294,17
gpt-4.1-2025-04-14,GPT-4.1,Mom,0.153422619047619,8
gpt-4.1-2025-04-14,GPT-4.1,Rev,-0.4147321428571429,8
gpt-4.1-2025-04-14,GPT-4.1,LowVol,-0.4994047619047619,8
gpt-4.1-2025-04-14,GPT-4.1,E/P,-0.2580128205128205,8
gpt-4.1-2025-04-14,GPT-4.1,ROE,-0.12980769230769226,8
gpt-4.1-2025-04-14,GPT-4.1,LowInv,-0.17091346153846154,8
gpt-4.1-2025-04-14,GPT-4.1,SmallSize,-0.15580357142857143,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,Mom,0.09732142857142861,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,Rev,-0.16875,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,LowVol,-0.31770833333333337,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,E/P,-0.06850961538461538,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,ROE,-0.078125,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,LowInv,-0.17027243589743588,8
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,SmallSize,-0.07038690476190476,8
gpt-4.1-nano,GPT-4.1 nano,Mom,-0.07053571428571424,8
gpt-4.1-nano,GPT-4.1 nano,Rev,-0.12351190476190477,8
gpt-4.1-nano,GPT-4.1 nano,LowVol,-0.26488095238095233,8
gpt-4.1-nano,GPT-4.1 nano,E/P,-0.03750000000000005,8
gpt-4.1-nano,GPT-4.1 nano,ROE,0.05312500000000001,8
gpt-4.1-nano,GPT-4.1 nano,LowInv,-0.18341346153846155,8
gpt-4.1-nano,GPT-4.1 nano,SmallSize,-0.1359375,8
o4-mini,o4-mini,Mom,0.16175595238095236,8
o4-mini,o4-mini,Rev,-0.4958333333333334,8
o4-mini,o4-mini,LowVol,-0.5299107142857142,8
o4-mini,o4-mini,E/P,-0.26706730769230763,8
o4-mini,o4-mini,ROE,-0.12580128205128202,8
o4-mini,o4-mini,LowInv,-0.19286858974358975,8
o4-mini,o4-mini,SmallSize,-0.16681547619047615,8
o3,o3,Mom,0.10967261904761902,8
o3,o3,Rev,-0.42723214285714295,8
o3,o3,LowVol,-0.4604166666666667,8
o3,o3,E/P,-0.20913461538461536,8
o3,o3,ROE,-0.0551282051282051,8
o3,o3,LowInv,-0.14991987179487176,8
o3,o3,SmallSize,-0.14583333333333331,8
gemini-2.5-flash,Gemini 2.5 Flash,Mom,0.24087301587301588,6
gemini-2.5-flash,Gemini 2.5 Flash,Rev,-0.3418650793650793,6
gemini-2.5-flash,Gemini 2.5 Flash,LowVol,-0.38392857142857145,6
gemini-2.5-flash,Gemini 2.5 Flash,E/P,-0.2606837606837607,6
gemini-2.5-flash,Gemini 2.5 Flash,ROE,-0.06613247863247859,6
gemini-2.5-flash,Gemini 2.5 Flash,LowInv,-0.19797008547008546,6
gemini-2.5-flash,Gemini 2.5 Flash,SmallSize,-0.22123015873015872,6
gemini-2.5-pro,Gemini 2.5 Pro,Mom,0.2615079365079366,6
gemini-2.5-pro,Gemini 2.5 Pro,Rev,-0.3767857142857143,6
gemini-2.5-pro,Gemini 2.5 Pro,LowVol,-0.5015873015873016,6
gemini-2.5-pro,Gemini 2.5 Pro,E/P,-0.314957264957265,6
gemini-2.5-pro,Gemini 2.5 Pro,ROE,-0.10202991452991446,6
gemini-2.5-pro,Gemini 2.5 Pro,LowInv,-0.12307692307692307,6
gemini-2.5-pro,Gemini 2.5 Pro,SmallSize,-0.2871031746031746,6
claude-sonnet-4-20250514,Claude Sonnet 4,Mom,0.25170068027210885,7
claude-sonnet-4-20250514,Claude Sonnet 4,Rev,-0.24149659863945577,7
claude-sonnet-4-20250514,Claude Sonnet 4,LowVol,-0.23639455782312924,7
claude-sonnet-4-20250514,Claude Sonnet 4,E/P,-0.2901098901098901,7
claude-sonnet-4-20250514,Claude Sonnet 4,ROE,0.025274725274725303,7
claude-sonnet-4-20250514,Claude Sonnet 4,LowInv,-0.35778388278388273,7
claude-sonnet-4-20250514,Claude Sonnet 4,SmallSize,-0.4602040816326531,7
claude-opus-4-20250514,Claude Opus 4,Mom,0.2425170068027211,7
claude-opus-4-20250514,Claude Opus 4,Rev,-0.16411564625850344,7
claude-opus-4-20250514,Claude Opus 4,LowVol,-0.25986394557823134,7
claude-opus-4-20250514,Claude Opus 4,E/P,-0.16382783882783886,7
claude-opus-4-20250514,Claude Opus 4,ROE,-0.05824175824175822,7
claude-opus-4-20250514,Claude Opus 4,LowInv,-0.1965201465201465,7
claude-opus-4-20250514,Claude Opus 4,SmallSize,-0.17891156462585028,7
