Model,ModelID,Vendor,Mode,Start,End,Q1_CAGR,Q1_Sharpe,LS_CAGR,LS_Sharpe,LS_Sortino,LS_MDD,Mean_IC,ICIR,Months,Avg_Names
GPT-4o,gpt-4o-2024-05-13,OpenAI,return,2024-06,2025-12,0.24538424514765111,0.8240434521846518,-0.22707472165112952,-0.623566167897343,-0.8250485788963569,-0.5731497496188287,0.08997493734335839,0.4834333312308586,19.0,28.68421052631579
GPT-4o,gpt-4o-2024-05-13,OpenAI,sharpe,2024-06,2025-12,-0.1944846251452329,-0.5521286514710058,-0.7034239712960317,-3.307340632622217,-3.8864234955590082,-0.8598874068163445,-0.26389127331324747,-1.4641618591832062,19.0,28.63157894736842
GPT-4o,gpt-4o-2024-05-13,OpenAI,sortino,2024-06,2025-12,-0.22985819944986818,-0.6870863159299184,-0.6978056902072597,-3.311069823497671,-3.918091348843224,-0.8566736093983625,-0.2809783078385618,-1.711460732171836,19.0,28.63157894736842
GPT-4o mini,gpt-4o-mini-2024-07-18,OpenAI,return,2024-08,2025-12,-0.1995346156971971,-0.8010212882169604,-0.6310567345905178,-4.017822255876108,-4.704611792359033,-0.7696622575833879,-0.30301038574900097,-6.148195554241354,17.0,25.235294117647058
GPT-4o mini,gpt-4o-mini-2024-07-18,OpenAI,sharpe,2024-08,2025-12,-0.15854176239969764,-0.5530254861039996,-0.5269452093557052,-2.9238375633846467,-3.6280702480725595,-0.6611675913218625,-0.2413940137725304,-3.296958771607834,17.0,24.41176470588235
GPT-4o mini,gpt-4o-mini-2024-07-18,OpenAI,sortino,2024-08,2025-12,-0.1598484315158003,-0.6785432838251194,-0.5572400286003159,-3.154921168780421,-3.860768012425691,-0.6956484077623946,-0.25465895764993896,-3.426212331628822,17.0,24.41176470588235
GPT-4.1,gpt-4.1-2025-04-14,OpenAI,return,2025-05,2025-12,2.4098918250763646,4.003484258489691,3.6758862090799305,4.718995666810327,8.368774282115671,-0.11757151499572027,0.5487685905702511,5.921651215077572,8.0,28.375
GPT-4.1,gpt-4.1-2025-04-14,OpenAI,sharpe,2025-05,2025-12,2.534362164311793,4.2555984566310014,3.4268069181395466,4.851080549024294,9.288025959749724,-0.1134130937310115,0.5401213776668414,5.6289564685659945,8.0,28.625
GPT-4.1,gpt-4.1-2025-04-14,OpenAI,sortino,2025-05,2025-12,2.5559274962800274,4.236756853983135,3.721348077436546,4.900197920481449,9.300122354719404,-0.10819337226488102,0.5099661375935585,5.1889975079619095,8.0,28.625
GPT-4.1 mini,gpt-4.1-mini-2025-04-14,OpenAI,return,2025-05,2025-12,1.9987670300489428,3.9597675851876244,2.6025898039713113,4.090378851101615,7.638961518534181,-0.1592630669997741,0.4489262031072376,2.797753911786554,8.0,26.5
GPT-4.1 mini,gpt-4.1-mini-2025-04-14,OpenAI,sharpe,2025-05,2025-12,2.239795347032811,4.178370408296174,3.1402146082962794,4.820979776969406,8.962194834535223,-0.08539815816107665,0.49830154332590615,5.040104637316076,8.0,26.25
