InputSet,InputLabel,ModelID,Model,characteristic,Q1_minus_Q5,Q1_minus_Q5_t,Q1_minus_Q5_p,n_months
both,Fund. + Market,o3,o3,mom_12_1,0.04204931972789116,0.6174252072751055,0.5369542997709575,14
both,Fund. + Market,o3,o3,rev_1m,-0.21330782312925176,-1.7005349651284642,0.0890303453111625,14
both,Fund. + Market,o3,o3,vol_60d,-0.56921768707483,-7.690411928903006,1.4654943925052066e-14,14
both,Fund. + Market,o3,o3,ep_ratio,-0.2065018315018315,-7.442605170702794,9.85878045867139e-14,14
both,Fund. + Market,o3,o3,roe,-0.050274725274725256,-2.6981377549985077,0.006972857991086379,14
both,Fund. + Market,o3,o3,asset_gr,-0.09551282051282048,-3.572962086193221,0.00035296588141653373,14
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,mom_12_1,0.2360294117647059,3.237171538185265,0.0012072082208693935,17
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,rev_1m,-0.22209383753501402,-2.002601103409823,0.04522012134999276,17
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,vol_60d,-0.5226540616246499,-8.920439711279627,0.0,17
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,ep_ratio,-0.40550527903469075,-5.045640737099586,4.5200403420153634e-07,17
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,roe,-0.28597285067873307,-2.697441020137187,0.006987466145920607,17
both,Fund. + Market,gemini-2.5-pro,Gemini 2.5 Pro,asset_gr,-0.11670437405731525,-2.111082553004159,0.03476521678232314,17
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,mom_12_1,0.32296918767507005,6.831528335259247,8.40150171654841e-12,17
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,rev_1m,-0.15836834733893557,-3.134880716957056,0.0017192400364463012,17
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,vol_60d,-0.34782913165266105,-6.375712832122708,1.8211387953215308e-10,17
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,ep_ratio,-0.31010558069381605,-6.284048152850124,3.298685768982068e-10,17
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,roe,-0.13031674208144794,-1.8544331132090615,0.06367722110124707,17
both,Fund. + Market,claude-opus-4-20250514,Claude Opus 4,asset_gr,-0.22533936651583705,-6.105723159527935,1.023362727892163e-09,17
fundamentals_only,Fund. only,o3,o3,mom_12_1,0.14714285714285716,1.2180952805224965,0.22318776713684496,15
fundamentals_only,Fund. only,o3,o3,rev_1m,-0.1307936507936508,-1.5998622116755878,0.10962915396061446,15
fundamentals_only,Fund. only,o3,o3,vol_60d,-0.4726190476190476,-30.299033872324014,0.0,15
fundamentals_only,Fund. only,o3,o3,ep_ratio,-0.3713675213675213,-6.971304627197726,3.1401548028497928e-12,15
fundamentals_only,Fund. only,o3,o3,roe,-0.06085470085470083,-2.376794039217312,0.017463836249811182,15
fundamentals_only,Fund. only,o3,o3,asset_gr,-0.20735042735042733,-7.049862476755672,1.7910117833253025e-12,15
