Model,Mode,α (ann),t(α),β(Mkt),β(SMB),β(HML),β(RMW),β(CMA),β(MOM),R² adj
GPT-4o,return,-11.511487511759066,-0.5623260043181104,0.2433134845344042,0.10501082059957682,-0.30447861668277926,0.19575958252207196,-0.4527542178190771,0.09412726411722892,0.04413100033158235
GPT-4o mini,return,-35.193790895774114,-3.1682558121474,-0.01884247074596871,-0.08984883549111924,0.057917908699024453,0.21450882509651104,-0.12877891091489485,-0.3287203013675033,0.036997261084622535
GPT-4.1,return,92.17288922890954,2.246075019406752,0.5443775576572824,0.14080143539262518,-0.5881234786067103,-0.4440501425770801,0.021917472960184346,0.3890280913315207,0.2596656724278711
GPT-4.1 mini,return,157.42479927897853,2.5712915298352765,0.08623788999747097,-0.4034013509581009,0.07598385331638323,-0.9315751710189373,-1.5710218877991675,-0.10151897906695209,0.07876779078262286
Gemini 2.5 Flash,return,112.72639198649723,2.5952575190271645,0.41259030874287445,0.1289460318433579,-0.5997233089093361,-0.28575994154956985,0.12600956508837527,0.6556656039020086,0.2139113722879714
Gemini 2.5 Pro,return,87.60557218070106,2.136814914239775,0.8300524033684407,-0.0597820147879484,-0.6376639270484025,-0.7542912975982143,0.3966274280370012,0.5081450378673759,0.3817482066840633
Gemini 3 Flash,return,299.996094630422,5.388129009235877,0.19960179658479532,0.1875380428800556,-0.6450010778774771,-0.4905888639282997,-0.0180889909337516,0.6666551756546928,0.19728562213418077
Gemini 3 Pro,return,189.86287383026976,3.480592162469033,0.47796867309527585,0.1520039291099003,-0.6059723624955199,-0.41651026905303806,0.3349333405438761,0.6611996856428333,0.23697015057672544
Claude Haiku 4.5,return,203.3148061363685,4.694706984165211,0.5175710725818644,-0.4135174761708334,-0.21951875883689506,-0.3388058213631894,-1.1045591942952255,-0.1340863048881335,0.2262400884692486
Claude Sonnet 4,return,144.68073568045287,4.12428992247347,0.41219245218905504,-0.16337550615334015,-0.3530735933616666,-0.27214359686719714,-0.681836338153065,0.3684500015647275,0.20384098455527822
