ModelID,Model,Vendor,Mom,Mom_p,Rev,Rev_p,LowVol,LowVol_p,E/P,E/P_p,ROE,ROE_p,LowInv,LowInv_p,SmallSize,SmallSize_p
gpt-4o-2024-05-13,GPT-4o,OpenAI,-0.02178550829413487,0.7522556459461616,-0.03872652590099441,0.6395949405386387,-0.1822039211656457,0.012142523801208949,-0.17819820076007803,0.012463722734322502,-0.10224772072833535,0.11140316873376244,-0.133495178230567,0.09954094925631596,-0.232089736597541,3.925762624401585e-05
gpt-4o-mini-2024-07-18,GPT-4o mini,OpenAI,-0.19907453100293432,0.00023937974907806137,0.2155380501618634,0.00019587118044039897,0.2240874325752076,0.0003550483753564926,0.20601879669177486,3.136037877848885e-05,-0.004162202659467469,0.9437499637984808,0.20178778933658542,0.00010818532058554098,0.10650373268897234,0.05652332894316414
gpt-4.1-2025-04-14,GPT-4.1,OpenAI,0.3718124884582046,1.5863336844113007e-05,-0.3764811641246233,1.0677990489149636e-05,-0.7022275298599432,0.0,-0.5662793544367934,1.1009326783550932e-10,-0.30558627988107556,3.442514349805137e-06,-0.470369480958186,1.6216601395058206e-09,-0.2869137998379694,1.4904120921421793e-05
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,OpenAI,0.287511418368854,0.00033925241238219606,-0.3922548604845378,2.9094326947642912e-09,-0.11645438412171664,0.3185337474759038,-0.15880865095730887,0.104609534502631,-0.019294686162298357,0.8143531342556314,-0.02464418920398355,0.7935371611167383,-0.19975732036086366,0.006019042277529252
gpt-4.1-nano,GPT-4.1 nano,OpenAI,0.13157216627113677,0.13759156620049806,-0.21014902785592016,0.020313375167601677,-0.22723937277069417,0.019198393054917107,-0.13297965769810477,0.15269496100169855,-0.08237970676353683,0.29526118441186555,-0.08148077175445968,0.3679009659146337,-0.18205064898896509,0.014798647765744688
o4-mini,o4-mini,OpenAI,0.23873930944788818,0.027518580551747496,-0.11383681645533132,0.3234545160043809,-0.646852891949066,0.0,-0.46303110175063,1.0943449022526863e-06,-0.2949731732401725,5.307437289436834e-06,-0.27608701315925505,0.0016166504364063528,-0.2440565564757771,0.005576889897707771
o3,o3,OpenAI,0.2813794404973457,0.0021256756128269494,-0.14849135957347148,0.15746881936912804,-0.8039869639674887,0.0,-0.5998075921994478,0.0,-0.35086832675850055,3.3223343065547084e-06,-0.49113650534034753,1.233679824963474e-12,-0.288462869419432,1.3346401819269715e-06
gemini-2.5-flash,Gemini 2.5 Flash,Google,0.47886233764168007,1.5867631653065928e-09,-0.31592058361126013,0.0009471401612772823,-0.5418433208633393,3.4008425000564557e-06,-0.5652653230284103,2.8686026887214666e-09,-0.21318517105827517,0.0012052549939980395,-0.2333795201625214,0.012098812238253931,-0.16838315093642484,0.01940029548912592
gemini-2.5-pro,Gemini 2.5 Pro,Google,0.44296941188020705,4.585793966782603e-10,-0.12833468657213934,0.20838904549637594,-0.7835729777511653,0.0,-0.669703750704346,0.0,-0.41671109837844694,4.440892098500626e-15,-0.335201148906528,1.8760280440233146e-08,-0.14463435719944692,0.04591553482914712
claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,0.365664869112271,1.4313703957657964e-06,-0.33719104528580063,0.00015709657669038535,-0.49819717877153435,3.0269120543380268e-12,-0.5262644638841639,1.6495693699880576e-11,-0.21013767626959387,0.004240466015631217,-0.39643167485220715,1.9332065237520624e-07,-0.2685166913916418,0.002653503543907032
claude-opus-4-20250514,Claude Opus 4,Anthropic,0.5087555909077924,2.0186075033734596e-12,-0.22519753864128544,0.02510314252042889,-0.5869316238933068,2.744471316873387e-13,-0.6128623768010643,8.881784197001252e-16,-0.2434234342899534,8.947151322091784e-05,-0.42026354743887495,2.024741548201092e-06,-0.19890688513569646,0.007793392619279027
